property_id,price,url,page
3003531902,Price on request,https://www.homegate.ch/buy/3003531902,1
3003526237, 995000,https://www.homegate.ch/buy/3003526237,1
3003452470, 3000000,https://www.homegate.ch/buy/3003452470,1
3003393561, 1995000,https://www.homegate.ch/buy/3003393561,1
3003238382, 2495000,https://www.homegate.ch/buy/3003238382,1
3002584460,Price on request,https://www.homegate.ch/buy/3002584460,1
3002451961, 1580000,https://www.homegate.ch/buy/3002451961,1
4000082901, 2290000,https://www.homegate.ch/buy/4000082901,1
4000081806,Price on request,https://www.homegate.ch/buy/4000081806,1
3003534789, 1200000,https://www.homegate.ch/buy/3003534789,1
3003530968, 1590000,https://www.homegate.ch/buy/3003530968,1
3003524370, 3500000,https://www.homegate.ch/buy/3003524370,1
3003521924, 2140000,https://www.homegate.ch/buy/3003521924,1
3003516510, 2685000,https://www.homegate.ch/buy/3003516510,1
3003514500, 4610000,https://www.homegate.ch/buy/3003514500,1
3003125458, 2350000,https://www.homegate.ch/buy/3003125458,1
3003125472, 1995000,https://www.homegate.ch/buy/3003125472,1
3003125471, 2120000,https://www.homegate.ch/buy/3003125471,1
3003501636, 1300000,https://www.homegate.ch/buy/3003501636,1
3003499320,Price on request,https://www.homegate.ch/buy/3003499320,1
3003360025,Price on request,https://www.homegate.ch/buy/3003360025,2
3003439545,Price on request,https://www.homegate.ch/buy/3003439545,2
3003422157, 1070000,https://www.homegate.ch/buy/3003422157,2
3003408670, 1850000,https://www.homegate.ch/buy/3003408670,2
3003350215, 1950000,https://www.homegate.ch/buy/3003350215,2
3003243010,Price on request,https://www.homegate.ch/buy/3003243010,2
3003231065,Price on request,https://www.homegate.ch/buy/3003231065,2
3003041699, 4500000,https://www.homegate.ch/buy/3003041699,2
3002617281, 2175000,https://www.homegate.ch/buy/3002617281,2
3003449773, 1550000,https://www.homegate.ch/buy/3003449773,2
3003391075, 1580000,https://www.homegate.ch/buy/3003391075,2
3003397028, 3185000,https://www.homegate.ch/buy/3003397028,2
3002658416, 1682000,https://www.homegate.ch/buy/3002658416,2
3003533963, 1720000,https://www.homegate.ch/buy/3003533963,2
4000094989, 2250000,https://www.homegate.ch/buy/4000094989,2
4000094909, 2250000,https://www.homegate.ch/buy/4000094909,2
3003428145, 3900000,https://www.homegate.ch/buy/3003428145,2
3002857801, 2150000,https://www.homegate.ch/buy/3002857801,2
4000090752, 1755000,https://www.homegate.ch/buy/4000090752,2
4000090751, 2350000,https://www.homegate.ch/buy/4000090751,2
4000090750, 1950000,https://www.homegate.ch/buy/4000090750,3
3003316769, 2380000,https://www.homegate.ch/buy/3003316769,3
3003245370, 1760000,https://www.homegate.ch/buy/3003245370,3
3003245369, 2180000,https://www.homegate.ch/buy/3003245369,3
3003245368, 2010000,https://www.homegate.ch/buy/3003245368,3
3003245366, 2070000,https://www.homegate.ch/buy/3003245366,3
3003091818, 1440000,https://www.homegate.ch/buy/3003091818,3
3003084616, 950000,https://www.homegate.ch/buy/3003084616,3
3003007287, 910000,https://www.homegate.ch/buy/3003007287,3
3003007283,Price on request,https://www.homegate.ch/buy/3003007283,3
3002494724,Price on request,https://www.homegate.ch/buy/3002494724,3
4000095412,Price on request,https://www.homegate.ch/buy/4000095412,3
4000088034, 1130000,https://www.homegate.ch/buy/4000088034,3
4000084153,Price on request,https://www.homegate.ch/buy/4000084153,3
3003520089, 1395000,https://www.homegate.ch/buy/3003520089,3
3003501637,Price on request,https://www.homegate.ch/buy/3003501637,3
3003500928,Price on request,https://www.homegate.ch/buy/3003500928,3
3003481015, 2650000,https://www.homegate.ch/buy/3003481015,3
3003328585, 2110000,https://www.homegate.ch/buy/3003328585,3
3003319492, 1560000,https://www.homegate.ch/buy/3003319492,3
3003293272, 3000000,https://www.homegate.ch/buy/3003293272,4
3002868108, 970000,https://www.homegate.ch/buy/3002868108,4
4000088631, 1690000,https://www.homegate.ch/buy/4000088631,4
4000085934, 600000,https://www.homegate.ch/buy/4000085934,4
4000082741, 1265000,https://www.homegate.ch/buy/4000082741,4
3003525387,Price on request,https://www.homegate.ch/buy/3003525387,4
