link,property_id,price,page,title,address,no_rooms,living_area,main_info,features_furnishings,advertiser,description,image_links
https://www.homegate.ch/buy/3003520089,3003520089, 1395000,3,Oblique | ZH,"Mattckerstrasse 29, 8052 Zürich",3.5,138,"Type: Attic flat, No. of rooms: 3.5, Floor: 3, Surface living: 138 m2, Last refurbishment: 2018, Year built: 1999","Balcony / Terrace, Fireplace, Parking space",Patrick Fries,"Oblique | Heller Wohntraum mit Ausbaupotenzial Die wunderschöne Attikawohnung im skandinavischen Stil punktet dank den charmanten Dachverstrebungen, der hohen Raumhöhe und den vielen Fenstern, die die Wohnung erhellt. Der skandinavische Stil der Wohnung macht die Wohnung wahrlich zu einer Wohlfühloase. Die Wohnung ist erst kürzlich komplett renoviert worden, verfügt über eine top moderne Küche sowie zwei Badezimmer, welche den Stil der Wohnung durchziehen. Das Wohnzimmer wird durch ein grosses Cheminée perfekt ergänzt. Durch das Wohnzimmer gelangt man durch eine Treppe zum Highlight der Attikawohnung, der offenen Galerie, mit Blick über den ganzen Wohn- und Essbereich. Hinter der Galerie befindet sich ein 43 m2 grossen Estrich, den man mit einer einfachen Bewilligung zu einem zusätzlichen Zimmer ausbauen kann. Dies würde somit ganze 43 Quadratmeter zusätzlich generieren und die Wohnfläche der Wohnung würde dann ganze 181 Quadratmeter fassen. Die zwei dazugehörigen Tiefgaragenstellplätze (CHF 40'000 pro Stellplatz)  können dazu erworben werden.","['https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/a6b403bd8575316400a7f9631e9e2d01.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/0fa41224b35715512503d9de73eef724.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/e68c3f27880bb3c1007432b2856d1958.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/36fe84bcdf1e9b0862186f3acf14d7f8.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/e92f52a86763104e1e4f9065672c5fbd.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/c4fc8235cd99bd7e1cff13ae4644f921.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/d0f573aed593692bee6934edbf11894e.png', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/dcb4720ed4822533332221530fde14b1.png', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/fa1fa88e2454410248653f3ad71b7bea.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/65cc2c5bcbd961c378253e2af7414da4.jpg', 'https://media2.homegate.ch/f_auto/t_web_dp_small/listings/h239/3003520089/image/6dc9458fb4d43e2366bd7c1d3438556c.jpg']"
https://www.homegate.ch/buy/3003501637,3003501637,Price on request,3,Projektankündigung,"Regensbergstrasse 138, 8050 Zürich",3.5,98,"Type: Apartment, No. of rooms: 3.5, Surface living: 98 m2, Year built: 2025","Balcony / Terrace, View, Parking space, Elevator, New building, Minergie construction",INIZIA Living AG,"Projektankündigung  Willkommen an der Regensbergstrasse 138 in Zürich-Oerlikon.  Wir freuen uns Ihnen mitteilen zu können, dass wir 10 brandneue Eigentumswohnungen an begehrter und sehr zentraler Lage in Zürich-Oerlikon planen. Modernes Design und hochwertige Materialien werden dieses Projekt auszeichnen. Erleben Sie urbanes Wohnen auf hohem Niveau!  Das absolute Highlight wird die spektakuläre Dachterrasse zur gemeinschaftlichen Nutzung. Hier eröffnet sich ein atemberaubender Blick über Oerlikon. Diese Oase der Ruhe und Entspannung ist der ideale Ort, um Sonnenuntergänge zu genießen und gesellige Abende zu verbringen.  Sichern Sie sich einen Informationsvorsprung. Besuchen Sie uns hierfür auf unserer Website unter der Rubrik ""Angebote"" www.inizia.ch/offers/ und hinterlassen uns Ihre Kontaktangaben oder registrieren Sie sich sogleich auf dieser Seite via Kontaktformular.  Sie werden zu gegebener Zeit mit dem Verkaufsdossier bedient. Wir bedanken uns für Ihr Interesse und Ihre Geduld.  Bis auf bald Ihr INIZIA-Verkaufsteam",['https://media2.homegate.ch/f_auto/t_web_dp_small/listings/z140/3003501637/image/2bac71edb2200bf5c55cac9a8761ed65.jpg']
